insertId,jsonPayload.levelname,jsonPayload.message,"'labels.""compute.googleapis.com/resource_id""","'labels.""compute.googleapis.com/resource_name""","'labels.""compute.googleapis.com/zone""","'labels.""ml.googleapis.com/endpoint""","'labels.""ml.googleapis.com/job_id/log_area""","'labels.""ml.googleapis.com/job_state""","'labels.""ml.googleapis.com/tpu_worker_id""","'labels.""ml.googleapis.com/trial_id""","'labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
ut6yxaf1myi8j,INFO,"'    [p=3] eval=262 cost=42326.977774",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581809479Z"
ut6yxaf1myi8i,INFO,"'    [p=3] eval=261 cost=4402.789158",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581801047Z"
ut6yxaf1myi8h,INFO,"'    [p=3] eval=260 cost=-14271.877709",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581794915Z"
ut6yxaf1myi8g,INFO,"'    [p=3] eval=259 cost=1619.454240",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581788464Z"
ut6yxaf1myi8f,INFO,"'    [p=3] eval=258 cost=1445.383211",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581780007Z"
ut6yxaf1myi8e,INFO,"'    [p=3] eval=257 cost=-8858.714197",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581773420Z"
ut6yxaf1myi8d,INFO,"'    [p=3] eval=256 cost=71907.692937",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581766598Z"
ut6yxaf1myi8c,INFO,"'    [p=3] eval=255 cost=3264.746901",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581758242Z"
ut6yxaf1myi8b,INFO,"'    [p=3] eval=254 cost=63767.485050",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581751950Z"
ut6yxaf1myi8a,INFO,"'    [p=3] eval=253 cost=2520.394224",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581745435Z"
ut6yxaf1myi89,INFO,"'    [p=3] eval=252 cost=-3423.792429",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581736722Z"
ut6yxaf1myi88,INFO,"'    [p=3] eval=251 cost=-3246.675553",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581730139Z"
ut6yxaf1myi87,INFO,"'    [p=3] eval=250 cost=95034.721289",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581723232Z"
ut6yxaf1myi86,INFO,"'    [p=3] eval=249 cost=-11596.042021",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581713737Z"
ut6yxaf1myi85,INFO,"'    [p=3] eval=248 cost=28738.520864",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:14:43.710832531Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:40.581706164Z"
